"sRNA","ATTR1","ATTR2","ATTR3","ATTR4","ATTR5","ATTR6","DCM1","DCM2","DCM3","DCM4","DCM5","DCM6"
"hsa-let-7a-2-3p",0,0,0,1,0,0,0,0,0,4,0,2
"hsa-let-7a-3p",44,27,19,46,18,42,33,16,39,58,39,41
"hsa-let-7a-5p",179474,101411,49666,76787,21167,74985,70611,84062,59871,73681,51250,69058
"hsa-let-7b-3p",48,33,16,45,21,41,30,46,19,37,18,33
"hsa-let-7b-5p",29001,18402,9610,14365,4345,14703,14012,17151,12920,17768,10806,15971
"hsa-let-7c-3p",31,29,1,21,8,38,26,26,12,21,10,6
"hsa-let-7c-5p",26126,16916,8417,14388,3398,14064,13547,19830,11685,15146,9783,12972
"hsa-let-7d-3p",1131,699,406,610,256,730,796,734,526,694,492,645
"hsa-let-7d-5p",4399,2205,1324,1571,716,1747,1598,1719,1295,1967,1171,1694
"hsa-let-7e-3p",37,51,10,36,12,39,25,25,24,44,32,40
"hsa-let-7e-5p",12189,8087,4087,7695,2056,7936,5798,6138,5221,7693,5828,6519
"hsa-let-7f-1-3p",5,7,5,6,3,1,2,3,2,4,2,9
"hsa-let-7f-2-3p",0,0,0,0,0,1,2,1,0,1,0,4
"hsa-let-7f-5p",506206,294346,223050,229697,58293,218789,260056,350815,155031,249221,145843,207208
"hsa-let-7g-3p",1,0,0,0,1,0,0,2,0,0,1,4
"hsa-let-7g-5p",155907,82445,55848,69554,21267,64523,75514,70857,44612,89760,40489,60330
"hsa-let-7i-3p",4,4,10,2,0,0,0,2,3,5,1,2
"hsa-let-7i-5p",193764,74351,75541,47532,13404,53811,58088,98571,30695,65318,33483,52497
"hsa-miR-1-3p",6721285,6967526,4581402,7525211,3129467,6013139,6247786,5740022,7567210,5909042,5268926,5740309
"hsa-miR-1-5p",6,11,7,16,14,13,15,1,5,14,5,14
"hsa-miR-100-3p",0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-100-5p",62126,43551,24876,22159,6046,28858,24975,71627,13158,46354,15543,51401
"hsa-miR-101-3p",18130,23272,17854,19577,9050,22917,15014,32116,17446,27238,22973,28968
"hsa-miR-101-5p",0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-10392-5p",0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-10393-3p",0,0,0,0,4,1,0,1,0,5,1,0
"hsa-miR-10394-3p",0,0,0,0,6,0,0,0,0,0,0,1
"hsa-miR-10394-5p",0,0,1,0,7,0,0,0,0,0,0,0
"hsa-miR-10395-3p",104,71,139,136,83,126,39,175,85,218,189,193
"hsa-miR-10398-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-10399-3p",3,8,8,11,3,2,6,7,3,3,7,3
"hsa-miR-10399-5p",1,5,6,2,2,10,9,3,9,6,9,12
"hsa-miR-103a-2-5p",0,4,0,3,0,5,8,1,3,8,3,5
"hsa-miR-103a-3p",17480,16684,10273,20232,6835,21360,15467,12049,14267,23691,13237,15760
"hsa-miR-103b",17061,16378,9959,19811,6670,20849,15063,11693,13907,23146,12917,15440
"hsa-miR-10401-3p",1,2,1,0,1,1,1,0,0,0,2,0
"hsa-miR-105-3p",0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-105-5p",0,0,0,0,0,0,1,1,0,1,0,0
"hsa-miR-10527-5p",1,1,2,12,1,3,1,3,2,0,5,1
"hsa-miR-106a-3p",0,0,0,0,0,1,0,0,0,2,0,0
"hsa-miR-106a-5p",7,15,2,23,1,5,4,0,9,25,1,11
"hsa-miR-106b-3p",1717,2156,1399,1617,523,1491,986,1858,1065,1616,1137,1222
"hsa-miR-106b-5p",35,37,39,67,36,60,37,18,40,87,61,50
"hsa-miR-107",236,241,137,324,132,343,253,123,273,535,213,268
"hsa-miR-10a-3p",43,7,8,13,13,16,5,1,15,21,4,38
"hsa-miR-10a-5p",40721,8377,9718,6437,12177,7917,7068,1257,7422,5595,2353,15695
"hsa-miR-10b-3p",3,3,5,6,8,0,7,9,3,1,2,7
"hsa-miR-10b-5p",29789,11312,8572,4055,13806,3877,9511,27852,4454,2987,3933,15865
"hsa-miR-11400",0,8,0,0,0,1,1,0,0,0,0,2
"hsa-miR-11401",4,2,4,0,0,2,0,4,0,0,0,0
"hsa-miR-1179",0,1,1,4,0,2,0,0,4,3,0,2
"hsa-miR-1180-3p",142,79,33,90,45,101,52,77,56,96,39,85
"hsa-miR-1185-1-3p",4,5,1,3,0,6,2,0,0,5,0,4
"hsa-miR-1185-2-3p",2,2,0,5,0,1,0,0,1,2,0,3
"hsa-miR-1185-5p",2,0,0,5,0,1,1,0,0,0,2,0
"hsa-miR-1197",0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-12117",0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-12136",66,81,117,247,260,244,67,75,229,458,338,274
"hsa-miR-122-3p",35,38,10,23,8,20,24,10,9,28,9,22
"hsa-miR-122-5p",3303,339,1262,186,303,102,154,8642,156,51,86,19
"hsa-miR-1224-5p",0,0,0,1,0,0,1,2,0,0,0,0
"hsa-miR-1226-3p",6,5,0,1,0,7,4,0,3,6,1,8
"hsa-miR-1226-5p",2,0,0,1,0,0,1,0,0,0,0,5
"hsa-miR-1228-3p",0,1,1,0,0,0,0,0,0,1,0,1
"hsa-miR-1229-3p",0,0,0,0,0,0,0,0,0,1,2,0
"hsa-miR-122b-3p",3301,339,1262,186,303,102,154,8641,156,51,86,19
"hsa-miR-122b-5p",52,55,15,31,18,23,35,18,13,39,11,25
"hsa-miR-1234-3p",0,2,0,0,0,0,3,0,1,1,0,0
"hsa-miR-124-3p",49,44,26,43,31,37,1,1,2,3,0,1
"hsa-miR-124-5p",1,2,0,5,5,6,0,9,0,0,0,0
"hsa-miR-1243",2,0,0,1,0,0,1,0,0,1,0,0
"hsa-miR-1244",0,0,0,0,3,0,0,0,0,0,0,0
"hsa-miR-1245a",1,5,0,0,0,1,0,3,0,1,0,3
"hsa-miR-1245b-3p",6,6,1,0,0,0,1,3,1,3,0,3
"hsa-miR-1245b-5p",0,5,0,0,0,4,0,3,2,0,0,3
"hsa-miR-1246",16,36,66,73,63,86,24,118,61,195,152,163
"hsa-miR-1247-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1247-5p",0,0,0,1,0,0,0,0,1,0,1,0
"hsa-miR-1248",31,20,37,43,45,70,26,66,48,90,54,52
"hsa-miR-1250-5p",7,7,0,1,0,0,4,1,0,3,7,0
"hsa-miR-1252-5p",0,0,0,0,0,1,0,0,0,0,0,4
"hsa-miR-1255a",0,2,3,0,1,2,9,4,0,1,7,1
"hsa-miR-1255b-5p",1,2,1,0,0,0,0,0,0,1,0,0
"hsa-miR-1256",2,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1257",1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-125a-3p",38,18,13,11,12,15,24,25,8,22,15,18
"hsa-miR-125a-5p",18370,15381,3658,7510,4015,9703,12541,7860,8906,11252,4793,8213
"hsa-miR-125b-1-3p",433,127,152,118,46,133,168,354,59,201,91,180
"hsa-miR-125b-2-3p",823,756,478,974,246,999,743,962,668,1095,702,1003
"hsa-miR-125b-5p",11167,8729,3849,7884,2647,8070,7735,6803,5573,10033,5995,8569
"hsa-miR-126-3p",137658,89889,61550,59060,34585,65804,50466,62286,55324,83241,36479,76329
"hsa-miR-126-5p",744,842,384,1115,664,1114,494,308,999,1381,706,1194
"hsa-miR-1260a",0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-1260b",5,7,14,13,1,19,4,5,6,24,13,17
"hsa-miR-1262",13,7,13,8,1,12,8,11,4,20,8,10
"hsa-miR-1263",4,5,1,0,7,0,5,0,0,4,0,0
"hsa-miR-1265",0,1,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1266-5p",3,0,2,1,0,5,0,2,0,3,2,0
"hsa-miR-1268a",1,1,0,1,0,0,1,1,0,2,2,2
"hsa-miR-1269a",1,0,0,0,0,0,0,3,0,0,1,3
